,Player,GlobalMake,made,att,dewmade,dewatt,ContestMakeActual,dewContestMakeActual,ProjectedMake,DewProjectedMake
0,Bradley Beal,0.3473805576810202,15,25,0.0,0.0,0.6,0.0,0.5638091628562487,0.31366976995899176
1,Buddy Hield,0.39331089304423494,91,125,0.0,8.0,0.728,0.0,0.6236084672383477,0.34847440509879984
2,C.J. McCollum,0.40847694939219703,24,50,0.0,0.0,0.48,0.0,0.6426458403615173,0.3603551423349963
3,Damian Lillard,0.3536822675718638,45,75,3.0,4.0,0.6,0.75,0.572166806943952,0.318333493532851
4,Danny Green,0.24192218075993824,16,25,0.0,0.0,0.64,0.0,0.4222913364705872,0.2415666618532764
5,Davis Bertans,0.39059293160453923,29,50,2.0,4.0,0.58,0.5,0.6201540225734257,0.346364482774871
6,Desmond Bane,0.4045455480791375,12,25,1.0,2.0,0.48,0.5,0.6377511918068701,0.3572582166523972
7,Devin Booker,0.37973386038836826,108,175,3.0,4.0,0.6171428571428571,0.75,0.6062336951905767,0.33799547358206855
8,Devonte' Graham,0.3507297024230845,10,25,1.0,2.0,0.4,0.5,0.5682557923867219,0.31614377078292927
9,Donovan Mitchell,0.3619340465366608,17,25,0.0,2.0,0.68,0.0,0.5830480597146744,0.32449580541003786
10,Duncan Robinson,0.3883796925377204,12,25,1.0,2.0,0.48,0.5,0.6173320258875596,0.3446508181568243
11,Eric Gordon,0.3761026017172196,47,75,0.0,0.0,0.6266666666666667,0.0,0.6015387568862924,0.3352190516721032
12,Fred VanVleet,0.36527577115464926,13,25,0.0,2.0,0.52,0.0,0.5874323552825836,0.3270089181810603
13,Jalen Brunson,0.40408928630519514,0,0,0.0,0.0,0.0,0.0,0.6371812621713153,0.35689956581598437
14,James Harden,0.3824051000781391,24,50,0.0,0.0,0.48,0.0,0.6096749742847805,0.34004503809454983
15,Jaylen Brown,0.35752098039215685,13,25,1.0,2.0,0.52,0.5,0.5772381030225434,0.3211924518255744
16,Jayson Tatum,0.3599883003904313,46,75,2.0,6.0,0.6133333333333333,0.3333333333333333,0.5804891581511268,0.32303715863781657
17,Joe Harris,0.40176048899821265,49,75,1.0,2.0,0.6533333333333333,0.5,0.6342663143480266,0.3550714871991089
18,Julius Randle,0.3270773029144562,10,25,0.0,2.0,0.4,0.0,0.5366579575264661,0.29890096744183775
19,Karl-Anthony Towns,0.40053374068546627,35,50,1.0,4.0,0.7,0.25,0.6327268172619595,0.35411019850106096
20,Kevin Huerter,0.37534305900109216,5,25,0.0,2.0,0.2,0.0,0.6005543289270269,0.33463974427982957
21,Kevin Love,0.3531603300144532,14,25,0.0,0.0,0.56,0.0,0.571476081594493,0.3179458186385862
22,Khris Middleton,0.3621956886119039,18,50,0.0,0.0,0.36,0.0,0.583391814248294,0.3246922087687931
23,Klay Thompson,0.39414723407375424,81,125,0.0,0.0,0.648,0.0,0.6246689252578849,0.34912484906490654
24,Kyle Lowry,0.3711602931704778,12,25,0.0,0.0,0.48,0.0,0.5951187597138053,0.3314584844622608
25,Lauri Markkanen,0.3908658542328274,15,25,0.0,2.0,0.6,0.0,0.6205014556512156,0.3465760784529569
26,Luke Kennard,0.4549828407252819,35,50,1.0,4.0,0.7,0.25,0.698093185314155,0.39781297371612473
27,Malik Beasley,0.406014838450058,0,0,0.0,0.0,0.0,0.0,0.6395838873490037,0.3584142580579779
28,Mike Conley,0.4136132917634397,37,50,1.0,4.0,0.74,0.25,0.6489959585578813,0.36441879157558427
29,Patty Mills,0.40556403354746456,11,25,2.0,2.0,0.44,1.0,0.6390220127042571,0.3580593878416925
30,Seth Curry,0.4032989438081426,13,25,0.0,0.0,0.52,0.0,0.636193110683635,0.35627868581347916
31,Stephen Curry,0.40520028249131573,173,225,3.0,4.0,0.7688888888888888,0.75,0.6385683626628404,0.3577731590733871
32,Trae Young,0.35166155242643865,41,75,2.0,6.0,0.5466666666666666,0.3333333333333333,0.5694910791205211,0.31683398809727414
33,Tyler Herro,0.38520126868135257,11,25,1.0,2.0,0.44,0.5,0.6132655340544864,0.34219688961987665
34,Tyrese Haliburton,0.4021657564681448,30,50,2.0,4.0,0.6,0.5,0.6347743006956643,0.3553893153271652
35,Tyrese Maxey,0.3910777020955457,0,0,0.0,0.0,0.0,0.0,0.6207710548578553,0.34674036497819155
36,Wesley Matthews,0.28151367497757673,15,25,0.0,0.0,0.6,0.0,0.4751755945264668,0.267264206139527
37,Zach LaVine,0.37182920261024943,45,75,0.0,6.0,0.6,0.0,0.595989623817058,0.33196620912972696
